limite,rmspe,quantidade_especialista,fracao_especialista
349700.27776203863,0.2188875548250408,1100,0.23514322359982898
351783.1357294748,0.2192198156878314,1125,0.24048738777255238
353807.33186307515,0.21938531002517675,1146,0.24497648567764002
355350.5273035483,0.21956161850549175,1170,0.2501068832834545
356850.0355632517,0.2196810882312535,1193,0.25502351432236
358167.66748870275,0.21983066019319186,1217,0.26015391192817444
359621.35559167113,0.22003230699482346,1240,0.26507054296707994
360999.32408232347,0.22031297999064836,1263,0.2699871740059855
362063.79725645744,0.22044209426552747,1287,0.2751175716117999
364081.20791307784,0.22074885793298327,1310,0.28003420265070544
366081.4128673234,0.22106158825870817,1333,0.28495083368961094
368147.0913089161,0.2212982377505439,1357,0.2900812312954254
377049.0273541538,0.22130136569195638,1474,0.31509191962377087
370227.21678498585,0.22136880099818704,1380,0.2949978623343309
371708.6709507655,0.22138918969921376,1404,0.30012825994014536
375120.7524200464,0.22143221696542945,1450,0.3099615220179564
379287.6123110214,0.22150378124079584,1497,0.32000855066267636
373350.79991431185,0.22152280360363205,1427,0.30504489097905085
381450.2046854488,0.22171757474422893,1521,0.3251389482684908
382732.9846329292,0.22188848164517205,1545,0.33026934587430523
384197.71529884345,0.22196788569423703,1567,0.3349722103463018
386097.66594438354,0.22197608655021298,1591,0.3401026079521163
387755.4366445524,0.22216626645216495,1614,0.3450192389910218
391747.2082009175,0.22221411837892796,1661,0.3550662676357418
389149.56163649604,0.2222717863265029,1637,0.3499358700299273
394204.3296944552,0.22235954521879167,1684,0.3599828986746473
395908.722306225,0.22249883891402333,1709,0.36532706284737065
398081.1101249918,0.22254336362562277,1731,0.37002992731936724
400637.3328357402,0.22265204788269705,1754,0.3749465583582728
402640.69311453623,0.2227211975959605,1778,0.3800769559640872
404744.5576344422,0.22297646824019157,1801,0.38499358700299274
406870.14715024695,0.2230610398595622,1825,0.3901239846088072
409391.0132833834,0.22309933816885674,1848,0.3950406156477127
411670.4590491738,0.223121059258217,1871,0.3999572466866182
413921.57838651945,0.22315851972359232,1895,0.40508764429243266
416356.8290342911,0.2232070071520528,1918,0.41000427533133815
417983.1933185469,0.22322879421832337,1941,0.4149209063702437
420913.90513009526,0.22346055500101658,1965,0.42005130397605817
424545.17178612814,0.223519573759508,1988,0.42496793501496366
433107.9336765872,0.2236242767717814,2035,0.4350149636596836
428687.5083007561,0.22364176036558267,2012,0.4300983326207781
435904.0928535647,0.22373682500134465,2058,0.43993159469858917
439560.1211324386,0.22380599191918304,2082,0.4450619923044036
442694.46370733454,0.2240937889018445,2105,0.4499786233433091
447221.6569560332,0.22426968776963632,2129,0.45510902094912353
451188.66177142435,0.22429576492312703,2152,0.4600256519880291
459853.33564853144,0.22454852389640545,2199,0.47007268063274904
464345.7190366097,0.2246159086224918,2222,0.47498931167165453
454661.8721067889,0.22472731047159913,2175,0.4649422830269346
470641.29532459215,0.22501082435507186,2245,0.4799059427105601
475227.13134410855,0.22529486007325897,2269,0.4850363403163745
478570.45261000074,0.2254705185907172,2292,0.48995297135528004
483343.86440424004,0.22552765112047599,2316,0.4950833689610945
487661.9319419862,0.2258419031551502,2339,0.5
496090.29885860696,0.2260994016663655,2386,0.51004702864472
491527.90967500245,0.226176016402247,2362,0.5049166310389055
499892.11204604415,0.22623191469182188,2409,0.5149636596836255
503602.73575896857,0.22649298651524166,2433,0.5200940572894399
509543.7295538845,0.2267666650262449,2456,0.5250106883283454
514371.6245578036,0.22701956590934758,2479,0.529927319367251
518274.10656087863,0.2274542765692768,2503,0.5350577169730654
521789.68643786805,0.2277087089678177,2526,0.539974348011971
524750.8098244246,0.228019033432571,2549,0.5448909790508765
529383.3858020004,0.22816986832581418,2573,0.5500213766566909
533876.5107479305,0.22833877488906418,2596,0.5549380076955964
538019.1654249919,0.22860771861033818,2620,0.5600684053014109
542626.030869142,0.22894523836894648,2643,0.5649850363403164
545992.176487226,0.22917684803659563,2666,0.5699016673792219
549627.249671354,0.2293739636409431,2690,0.5750320649850363
554811.7803204614,0.22943917745081707,2713,0.5799486960239418
557731.6867236386,0.22966182719957826,2737,0.5850790936297563
579206.612712331,0.22995319826810698,2853,0.6098760153911928
560707.3614944002,0.22995745195455522,2760,0.5899957246686618
583484.209664282,0.22999751764573687,2877,0.6150064129970073
587621.9280448881,0.2300062280072649,2900,0.6199230440359128
593833.723120178,0.23007907141476863,2924,0.6250534416417273
599258.9622466087,0.23014345350968837,2947,0.6299700726806328
563875.3558072629,0.23024799133365959,2783,0.5949123557075673
603203.9098134446,0.23032014593463912,2970,0.6348867037195383
610310.9489885293,0.23035439683254105,2994,0.6400171013253527
566407.9165313564,0.23051638252228232,2807,0.6000427533133817
625546.3049072176,0.23060733359080732,3041,0.6500641299700727
620575.5572575673,0.23061920440856978,3017,0.6449337323642582
572232.212752077,0.2306461689391711,2830,0.6049593843522874
630504.6883915528,0.23072965214162844,3065,0.6551945275758871
638129.4653926692,0.2308839821783929,3087,0.6598973920478837
