avaliacao,fracao_top,peso_especialista,limite_inferior,limite_superior,quantidade,quantidade_selecionada,rmspe_base,rmspe_gate,ganho_pp
oof_por_fold,0.025,0.3333333333333333,1300000,1500000.0,146,1,0.23825782992045527,0.24230252418945866,-0.40446942690033905
oof_por_fold,0.025,0.3333333333333333,1500000,2000000.0,176,10,0.3017512513534409,0.3026820961213972,-0.09308447679562959
oof_por_fold,0.025,0.3333333333333333,2000000,inf,194,109,0.3390738711323796,0.3310194673588107,0.8054403773568863
oof_por_fold,0.025,0.5,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.025,0.5,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.025,0.5,1300000,1500000.0,146,1,0.23825782992045527,0.24464113698538123,-0.6383307064925958
oof_por_fold,0.025,0.5,1500000,2000000.0,176,10,0.3017512513534409,0.3033600609798926,-0.16088096264517127
oof_por_fold,0.025,0.5,2000000,inf,194,109,0.3390738711323796,0.32752366564111246,1.1550205491267118
oof_por_fold,0.025,0.75,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.025,0.75,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.025,0.75,1300000,1500000.0,146,1,0.23825782992045527,0.24852783737070538,-1.0270007450250112
oof_por_fold,0.025,0.75,1500000,2000000.0,176,10,0.3017512513534409,0.30464009522767366,-0.28888438742327716
oof_por_fold,0.025,0.75,2000000,inf,194,109,0.3390738711323796,0.32297697814036114,1.6096892992018441
oof_por_fold,0.025,1.0,0,1000000.0,3826,0,0.19761205972265045,0.19761205972265045,0.0
oof_por_fold,0.025,1.0,1000000,1300000.0,336,0,0.2065767268927747,0.2065767268927747,0.0
oof_por_fold,0.025,1.0,1300000,1500000.0,146,1,0.23825782992045527,0.252850262454997,-1.4592432534541704
oof_por_fold,0.025,1.0,1500000,2000000.0,176,10,0.3017512513534409,0.3062322425162701,-0.448099116282924
oof_por_fold,0.025,1.0,2000000,inf,194,109,0.3390738711323796,0.31929798413821575,1.9775886994163827
oof_por_fold,0.03,0.1,0,1000000.0,3826,1,0.19761205972265045,0.19757302791018205,0.0039031812468393046
oof_por_fold,0.03,0.1,1000000,1300000.0,336,1,0.2065767268927747,0.2066776531421039,-0.010092624932919736
oof_por_fold,0.03,0.1,1300000,1500000.0,146,4,0.23825782992045527,0.23931439904992222,-0.10565691294669444
oof_por_fold,0.03,0.1,1500000,2000000.0,176,18,0.3017512513534409,0.3021042914699974,-0.035304011655651335
