modo_bairro,n_estimators,learning_rate,grow_policy,max_depth,max_leaves,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_cat_threshold,rmspe_bloco_corr_00,rmspe_bloco_corr_15,rmspe_bloco_corr_30,rmspe_bloco_corr_45
onehot,800,0.03,depthwise,6,0,5,0.8,0.8,0.05,1.0,0.0,64,0.2331901552137807,0.2323360774549757,0.23234759249704864,0.23322458113048347
onehot,800,0.03,depthwise,6,0,12,0.8,0.8,0.05,1.0,0.0,64,0.23021921971704437,0.22902963535206028,0.2287730089832639,0.22945247875984928
onehot,800,0.03,lossguide,0,8,1,0.8,0.8,0.05,1.0,0.0,64,0.2314964691370356,0.22942182972240627,0.22854187634749445,0.2288703974790255
onehot,800,0.03,lossguide,0,8,5,0.8,0.8,0.05,1.0,0.0,64,0.23145572011878232,0.22942444119678784,0.22857983738496568,0.2289350465233807
onehot,800,0.03,lossguide,0,16,1,0.8,0.8,0.05,1.0,0.0,64,0.2284634329636431,0.2272876448490881,0.22709002303206197,0.22787312016513836
onehot,800,0.03,lossguide,0,16,5,0.8,0.8,0.05,1.0,0.0,64,0.22997650015463922,0.2287575913642317,0.22850771002967923,0.22923003199316064
onehot,800,0.03,lossguide,0,32,1,0.8,0.8,0.05,1.0,0.0,64,0.22941498839588875,0.22873972413082772,0.2288694886330337,0.22980292645924225
onehot,800,0.03,lossguide,0,32,5,0.8,0.8,0.05,1.0,0.0,64,0.23631876378859656,0.2355164398804645,0.23548801248925702,0.23623376457745787
onehot,800,0.03,lossguide,0,64,1,0.8,0.8,0.05,1.0,0.0,64,0.2372183530334133,0.23674189164599088,0.23690234178962052,0.2376984196201866
onehot,800,0.03,lossguide,0,64,5,0.8,0.8,0.05,1.0,0.0,64,0.24224771814205862,0.24162562964705656,0.2416572632977876,0.24234237307294887
target_m2,800,0.03,depthwise,2,0,1,0.8,0.8,0.05,1.0,0.0,64,0.23579075053268508,0.23281059921369218,0.23119599472632935,0.23097558446788324
target_m2,800,0.03,depthwise,2,0,5,0.8,0.8,0.05,1.0,0.0,64,0.234542328577501,0.23157616854163152,0.2299774288743681,0.22977466004327518
target_m2,800,0.03,depthwise,2,0,12,0.8,0.8,0.05,1.0,0.0,64,0.23403655962136163,0.23108294186690287,0.22948949156612844,0.22928457903864136
target_m2,800,0.03,depthwise,3,0,1,0.8,0.8,0.05,1.0,0.0,64,0.2301783945408872,0.22796051828596564,0.2269784228686115,0.227248140126916
target_m2,800,0.03,depthwise,3,0,5,0.8,0.8,0.05,1.0,0.0,64,0.23064645236793974,0.2284361824054254,0.22745875737001905,0.22773006205800547
target_m2,800,0.03,depthwise,3,0,12,0.8,0.8,0.05,1.0,0.0,64,0.22973892343563293,0.22748233103447707,0.22647090948828935,0.22672133086363766
target_m2,800,0.03,depthwise,4,0,1,0.8,0.8,0.05,1.0,0.0,64,0.22526255331028622,0.2237653053577104,0.22334759105435553,0.22401545540439016
target_m2,800,0.03,depthwise,4,0,5,0.8,0.8,0.05,1.0,0.0,64,0.2275886267415941,0.22610765905250407,0.2256971008580115,0.2263627895555838
target_m2,800,0.03,depthwise,4,0,12,0.8,0.8,0.05,1.0,0.0,64,0.2247982462787586,0.22314677010321737,0.22261929110052994,0.22322378510226332
target_m2,800,0.03,depthwise,5,0,1,0.8,0.8,0.05,1.0,0.0,64,0.22587370786825672,0.2249201615022912,0.22487347406005567,0.2257342130634645
target_m2,800,0.03,depthwise,5,0,5,0.8,0.8,0.05,1.0,0.0,64,0.22672031308476928,0.22570731281639417,0.22561479173560084,0.22644388589032538
target_m2,800,0.03,depthwise,5,0,12,0.8,0.8,0.05,1.0,0.0,64,0.22563845459957085,0.22438588758589942,0.22410618855250186,0.22480299833136858
target_m2,800,0.03,depthwise,6,0,1,0.8,0.8,0.05,1.0,0.0,64,0.22772825238616629,0.2271621334343317,0.22735129912271018,0.22829387804477574
target_m2,800,0.03,depthwise,6,0,5,0.8,0.8,0.05,1.0,0.0,64,0.22748270693351963,0.2268054451286482,0.22691369854309076,0.22780635934061003
target_m2,800,0.03,depthwise,6,0,12,0.8,0.8,0.05,1.0,0.0,64,0.22649280859529436,0.22558545606391384,0.22555056572630372,0.2263885531340284
target_m2,800,0.03,lossguide,0,8,1,0.8,0.8,0.05,1.0,0.0,64,0.22748769143581124,0.22543392376374088,0.22459184342143473,0.22497506607540885
target_m2,800,0.03,lossguide,0,8,5,0.8,0.8,0.05,1.0,0.0,64,0.22765343906543523,0.22570606728849305,0.22494221599796901,0.22537392414449714
target_m2,800,0.03,lossguide,0,16,1,0.8,0.8,0.05,1.0,0.0,64,0.22317960031087647,0.22201713345416674,0.22184351995708823,0.22266108077994126
target_m2,800,0.03,lossguide,0,16,5,0.8,0.8,0.05,1.0,0.0,64,0.22592569756662506,0.2247694994194856,0.22458323105826927,0.2253693081889083
target_m2,800,0.03,lossguide,0,32,1,0.8,0.8,0.05,1.0,0.0,64,0.22769549392312685,0.22709956745751947,0.22728664354207123,0.2282548038239262
target_m2,800,0.03,lossguide,0,32,5,0.8,0.8,0.05,1.0,0.0,64,0.22884808931968026,0.22825013970024807,0.22840714505415338,0.22931756014941676
target_m2,800,0.03,lossguide,0,64,1,0.8,0.8,0.05,1.0,0.0,64,0.22951268329876764,0.22907201480356412,0.22929530043060106,0.23018061642160093
target_m2,800,0.03,lossguide,0,64,5,0.8,0.8,0.05,1.0,0.0,64,0.23195393195909608,0.23135827952674837,0.23140158313464163,0.23208349458987595
