estrategia,limite_inferior,limite_superior,quantidade,rmspe_base,rmspe_juiz,ganho_pp,peso_medio
continuo_q99_gate_preco,1300000,1500000.0,146,0.23825782992045527,0.2544956742962361,-1.6237844375780823,0.22742788331620703
continuo_q99_gate_preco,1500000,2000000.0,176,0.3017512513534409,0.29993412471381153,0.18171266396293517,0.2930663283681193
continuo_q99_gate_preco,2000000,inf,194,0.3390738711323796,0.2872150482445065,5.185882288787308,0.769117298354823
continuo_q99_gate_faixa_preco,0,740000.0,3265,0.19718272006755883,0.20016590650844082,-0.29831864408819964,0.0013285268219460728
continuo_q99_gate_faixa_preco,740000,900000.0,392,0.1948628831799081,0.20193493234322082,-0.7072049163312721,0.020470194319871633
continuo_q99_gate_faixa_preco,900000,1000000.0,169,0.21172608688476616,0.21127196272202026,0.04541241627459003,0.07285017527361234
continuo_q99_gate_faixa_preco,1000000,1300000.0,336,0.2065767268927747,0.20524492432271968,0.1331802570055024,0.1363557310660679
continuo_q99_gate_faixa_preco,1300000,1500000.0,146,0.23825782992045527,0.24711255197453758,-0.8854722054082304,0.28465389973145033
continuo_q99_gate_faixa_preco,1500000,2000000.0,176,0.3017512513534409,0.29367853175619074,0.8072719597250144,0.3523094566171341
continuo_q99_gate_faixa_preco,2000000,inf,194,0.3390738711323796,0.28581390922390054,5.325996190847904,0.7699143608929573
continuo_q95_gate_faixa,0,740000.0,3265,0.19718272006755883,0.20125208787465507,-0.40693678070962414,0.002138470819556206
continuo_q95_gate_faixa,740000,900000.0,392,0.1948628831799081,0.20501920165186482,-1.0156318471956722,0.03254172694420628
continuo_q95_gate_faixa,900000,1000000.0,169,0.21172608688476616,0.21692319528912102,-0.5197108404354861,0.10962040095208439
continuo_q95_gate_faixa,1000000,1300000.0,336,0.2065767268927747,0.2001753351008235,0.6401391791951205,0.1966100355040758
continuo_q95_gate_faixa,1300000,1500000.0,146,0.23825782992045527,0.22821045760934466,1.004737231111061,0.3321592965613412
continuo_q95_gate_faixa,1500000,2000000.0,176,0.3017512513534409,0.2773313196994805,2.441993165396039,0.36778574714025036
continuo_q95_gate_faixa,2000000,inf,194,0.3390738711323796,0.2980724292947287,4.100144183765087,0.4724443444619341
continuo_q95_gate_preco,0,740000.0,3265,0.19718272006755883,0.19946221816659257,-0.22794980990337443,0.0013258832205352233
continuo_q95_gate_preco,740000,900000.0,392,0.1948628831799081,0.19970142172025127,-0.48385385403431624,0.015506073722734272
continuo_q95_gate_preco,900000,1000000.0,169,0.21172608688476616,0.2078642179835017,0.386186890126447,0.05646793821047614
continuo_q95_gate_preco,1000000,1300000.0,336,0.2065767268927747,0.20636275206511037,0.021397482766433162,0.09290899688443674
continuo_q95_gate_preco,1300000,1500000.0,146,0.23825782992045527,0.254491800184186,-1.623397026373072,0.2234493163347527
continuo_q95_gate_preco,1500000,2000000.0,176,0.3017512513534409,0.3002228181697957,0.1528433183645206,0.2919427590754633
continuo_q95_gate_preco,2000000,inf,194,0.3390738711323796,0.28676728538186735,5.230658575051223,0.768565164286535
utilidade_gate_faixa,0,740000.0,3265,0.19718272006755883,0.20126065099499008,-0.40779309274312503,0.0021307870641041134
utilidade_gate_faixa,740000,900000.0,392,0.1948628831799081,0.20597919977348805,-1.111631659357995,0.03267061607911396
utilidade_gate_faixa,900000,1000000.0,169,0.21172608688476616,0.21830145977230797,-0.6575372887541814,0.11764137925366679
utilidade_gate_faixa,1000000,1300000.0,336,0.2065767268927747,0.20156146561117186,0.5015261281602845,0.2194268611550278
utilidade_gate_faixa,1300000,1500000.0,146,0.23825782992045527,0.23362855157768045,0.4629278342774823,0.37912468798908583
utilidade_gate_faixa,1500000,2000000.0,176,0.3017512513534409,0.273675679938276,2.8075571415164866,0.45104545590710904
utilidade_gate_faixa,2000000,inf,194,0.3390738711323796,0.2864038891022689,5.266998203011069,0.6161527574573216
utilidade_gate_faixa_preco,0,740000.0,3265,0.19718272006755883,0.20034044112353308,-0.3157721055974255,0.0014217165408700557
utilidade_gate_faixa_preco,740000,900000.0,392,0.1948628831799081,0.20202222642493253,-0.715934324502443,0.02248993817721931
utilidade_gate_faixa_preco,900000,1000000.0,169,0.21172608688476616,0.21125686390379034,0.04692229809758197,0.07771571738754086
utilidade_gate_faixa_preco,1000000,1300000.0,336,0.2065767268927747,0.20480247350417594,0.17742533885987677,0.14483762941987796
utilidade_gate_faixa_preco,1300000,1500000.0,146,0.23825782992045527,0.24663808435489193,-0.8380254434436657,0.29359288507390807
utilidade_gate_faixa_preco,1500000,2000000.0,176,0.3017512513534409,0.2935055816575753,0.8245669695865598,0.36744965330469676
utilidade_gate_faixa_preco,2000000,inf,194,0.3390738711323796,0.28532488025353264,5.374899087884693,0.7818245418128938
faixa_pura,0,740000.0,3265,0.19718272006755883,0.2008963001998246,-0.3713580132265776,0.0022005499923360063
faixa_pura,740000,900000.0,392,0.1948628831799081,0.20487601669925512,-1.0013133519347017,0.037275074395994444
faixa_pura,900000,1000000.0,169,0.21172608688476616,0.21796976438458032,-0.6243677499814165,0.11703881713148051
faixa_pura,1000000,1300000.0,336,0.2065767268927747,0.19787746593564284,0.869926095713186,0.20306141894453344
