mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rmspe_cv,desvio_rmspe_cv,rmspe_treino
0.3627768993377686,0.01843006662832708,0.037706947326660155,0.007842641608468088,0.85,0.5,0.1,45,450,45,6,0.025,0.8,"{'subsample': 0.85, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'num_leaves': 45, 'n_estimators': 450, 'min_child_samples': 45, 'max_depth': 6, 'learning_rate': 0.025, 'colsample_bytree': 0.8}",-0.24887994637929897,-0.25878349619433777,-0.2272605981947319,-0.22851092569445391,-0.2437456473396455,-0.24143612276049362,0.012080413857259262,11,-0.21098933455267643,-0.2092827780895521,-0.21250772307438917,-0.21199399683326506,-0.21332494482841083,-0.2116197554756587,0.0013924875311603277,0.24143612276049362,0.012080413857259262,0.2116197554756587
0.3888853549957275,0.03132314944418466,0.04365110397338867,0.005499149729102217,0.95,0.5,0.1,7,800,30,3,0.07,0.6,"{'subsample': 0.95, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'num_leaves': 7, 'n_estimators': 800, 'min_child_samples': 30, 'max_depth': 3, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",-0.2457403166749721,-0.2664031164364539,-0.22573327092989026,-0.22810961996988932,-0.2416451676754026,-0.24152629833732164,0.014601747377036152,12,-0.20411809018456184,-0.20435097010400258,-0.20671985181823743,-0.20788261509705652,-0.20755938892002598,-0.20612618322477688,0.0015921930264917621,0.24152629833732164,0.014601747377036152,0.20612618322477688
0.2917907238006592,0.034435012021763634,0.031860733032226564,0.006794283326861999,0.75,0.0,0.01,20,300,30,7,0.025,0.7,"{'subsample': 0.75, 'reg_lambda': 0.0, 'reg_alpha': 0.01, 'num_leaves': 20, 'n_estimators': 300, 'min_child_samples': 30, 'max_depth': 7, 'learning_rate': 0.025, 'colsample_bytree': 0.7}",-0.25076970246250074,-0.25797572161597127,-0.22761001806509223,-0.22790663354633128,-0.2443225730439892,-0.241716929746777,0.012188680176455005,13,-0.21396450949940998,-0.2136462261747188,-0.2146530782743889,-0.21450363724027824,-0.21683316233423008,-0.21472012270460522,0.0011171841800724372,0.241716929746777,0.012188680176455005,0.21472012270460522
0.38524370193481444,0.004269920786102449,0.050918054580688474,0.007327866539017439,0.95,3.0,0.0,15,600,20,7,0.05,0.7,"{'subsample': 0.95, 'reg_lambda': 3.0, 'reg_alpha': 0.0, 'num_leaves': 15, 'n_estimators': 600, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-0.24159202752786735,-0.2691388924620405,-0.2250992528846619,-0.22726583679159054,-0.2455956303746615,-0.24173832800816436,0.01582405093993004,14,-0.18267606132275235,-0.1797742101478048,-0.18253022934710464,-0.18126157089419376,-0.18309435385586223,-0.18186728511354358,0.0012122016531497016,0.24173832800816436,0.01582405093993004,0.18186728511354358
0.33992319107055663,0.011444452276512914,0.04622607231140137,0.006851389663580875,1.0,10.0,0.05,20,800,45,4,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.05, 'num_leaves': 20, 'n_estimators': 800, 'min_child_samples': 45, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.24902842332031874,-0.25776803527854614,-0.2265550711575007,-0.22915841839295611,-0.24635469442663965,-0.2417729285151923,0.012001560500940306,15,-0.20674506323979477,-0.20659351628286576,-0.20877600730181034,-0.20868995917151917,-0.20859352074388635,-0.20787961334797528,0.0009910697102625328,0.2417729285151923,0.012001560500940306,0.20787961334797528
0.5717916488647461,0.017150058601572284,0.07281293869018554,0.010219559811654908,0.65,0.0,0.3,7,1000,20,7,0.07,0.6,"{'subsample': 0.65, 'reg_lambda': 0.0, 'reg_alpha': 0.3, 'num_leaves': 7, 'n_estimators': 1000, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",-0.24223628373061315,-0.2637872104360332,-0.22759098394404753,-0.2308646435603332,-0.2466725491094905,-0.24223033415610354,0.012867958046152718,16,-0.18880004482571375,-0.18599009971826938,-0.19032891704770247,-0.1878380217619272,-0.18986669299004427,-0.18856475526873143,0.001550462033177302,0.24223033415610354,0.012867958046152718,0.18856475526873143
0.2194535255432129,0.024084238318678675,0.02218794822692871,0.0012743773024180333,0.75,0.5,0.0,12,450,10,3,0.05,1.0,"{'subsample': 0.75, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'num_leaves': 12, 'n_estimators': 450, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.24855207023854034,-0.2628569042883362,-0.2264005884815057,-0.22643299940623043,-0.24839384403031256,-0.242527281288985,0.014164069625702437,17,-0.2116385195566822,-0.20902446825257856,-0.21281377258575576,-0.21394722481063178,-0.21249005076831126,-0.21198280719479193,0.0016539068515517756,0.242527281288985,0.014164069625702437,0.21198280719479193
0.2294410228729248,0.00942845451436254,0.024326610565185546,0.0038867614946163226,0.95,0.5,0.3,15,450,45,4,0.05,1.0,"{'subsample': 0.95, 'reg_lambda': 0.5, 'reg_alpha': 0.3, 'num_leaves': 15, 'n_estimators': 450, 'min_child_samples': 45, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.2518752174323043,-0.2600428307742967,-0.2275255872833567,-0.22894324806044636,-0.24601388814741434,-0.2428801543395637,0.012769408726645462,18,-0.2137362498694473,-0.21345875796309563,-0.21494425873269288,-0.2149545148422567,-0.21579936258733903,-0.2145786287989663,0.0008635831746836535,0.2428801543395637,0.012769408726645462,0.2145786287989663
0.40091848373413086,0.016701104561929574,0.05623526573181152,0.003490684263513877,0.75,0.5,0.05,7,800,20,5,0.025,0.7,"{'subsample': 0.75, 'reg_lambda': 0.5, 'reg_alpha': 0.05, 'num_leaves': 7, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.025, 'colsample_bytree': 0.7}",-0.24684359796489755,-0.2623825402180029,-0.22737009343118167,-0.23051488067164905,-0.2484039306117626,-0.24310300857949874,0.012804512539186413,19,-0.21467299456487735,-0.2134323878193335,-0.21710798539407444,-0.21714853323968125,-0.21616279215676998,-0.21570493863494727,0.0014485531548313383,0.24310300857949874,0.012804512539186413,0.21570493863494727
0.4980818271636963,0.016300323939577133,0.062224388122558594,0.006784063895714794,0.95,10.0,0.01,7,1000,20,7,0.035,0.6,"{'subsample': 0.95, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'num_leaves': 7, 'n_estimators': 1000, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.035, 'colsample_bytree': 0.6}",-0.24623568311418303,-0.26425161390379087,-0.22431572975718378,-0.23005135004945396,-0.2518150265208042,-0.24333388066908318,0.014532842391191852,20,-0.20753598660320477,-0.2065528210392861,-0.21029758292127873,-0.20878562421317928,-0.20946830173977504,-0.20852806330334478,0.0013392075118183193,0.24333388066908318,0.014532842391191852,0.20852806330334478
