nome,familia,limite_preco,quantidade,rmspe_bruto,rmspe_calibrado_cf
xgb900_d4_mc3_i1000,xgb900,2000000,194,0.24298911087041475,0.25556074646355315
xgb900_d4_mc10_i1000,xgb900,600000,1913,0.35047213867906546,0.338708108085825
xgb900_d4_mc10_i1000,xgb900,740000,1413,0.2500353504697722,0.24374785561939355
xgb900_d4_mc10_i1000,xgb900,830000,1174,0.21859655120335464,0.21570987043187329
xgb900_d4_mc10_i1000,xgb900,950000,947,0.20512237734340744,0.20588404585371378
xgb900_d4_mc10_i1000,xgb900,1000000,852,0.20550134310613094,0.2075875725598631
xgb900_d4_mc10_i1000,xgb900,1300000,516,0.23402607620425056,0.23899641183491016
xgb900_d4_mc10_i1000,xgb900,1500000,370,0.24201519525636356,0.24875311873744965
xgb900_d4_mc10_i1000,xgb900,2000000,194,0.25748564875197844,0.26513900296992937
xgb900_d5_mc5_i1000,xgb900,600000,1913,0.3776715136960589,0.3502276689760288
xgb900_d5_mc5_i1000,xgb900,740000,1413,0.2606725292761035,0.24497101270642688
xgb900_d5_mc5_i1000,xgb900,830000,1174,0.22546634681410352,0.2170477788482176
xgb900_d5_mc5_i1000,xgb900,950000,947,0.20733821369765515,0.20652482914902598
xgb900_d5_mc5_i1000,xgb900,1000000,852,0.20644342843593447,0.20833776022276912
xgb900_d5_mc5_i1000,xgb900,1300000,516,0.23307116778664588,0.24051083003554075
xgb900_d5_mc5_i1000,xgb900,1500000,370,0.232810142428044,0.24426194271715287
xgb900_d5_mc5_i1000,xgb900,2000000,194,0.23964359401682514,0.253572135301813
xgb900_i1200,xgb900,600000,1913,0.37024738602277596,0.34709345153266136
xgb900_i1200,xgb900,740000,1413,0.2575812668688922,0.24452989592732582
xgb900_i1200,xgb900,830000,1174,0.2227934020405564,0.21608810523074415
xgb900_i1200,xgb900,950000,947,0.2059729995595659,0.2057990469060362
xgb900_i1200,xgb900,1000000,852,0.20518463229749667,0.20737950114036047
xgb900_i1200,xgb900,1300000,516,0.2336359445105578,0.2406559894836036
xgb900_i1200,xgb900,1500000,370,0.23519728853510388,0.24551935008218384
xgb900_i1200,xgb900,2000000,194,0.24394276285284744,0.25611699552015443
xgb900_features_caras,xgb900,600000,1913,0.3595326132475514,0.33718903217990176
xgb900_features_caras,xgb900,740000,1413,0.25462775127116255,0.24189756290034
xgb900_features_caras,xgb900,830000,1174,0.22210919311823157,0.21532678373208916
xgb900_features_caras,xgb900,950000,947,0.2094011568873282,0.20860764013304509
xgb900_features_caras,xgb900,1000000,852,0.20958746501888625,0.21109266944971006
xgb900_features_caras,xgb900,1300000,516,0.2314746002960438,0.2385889796400966
xgb900_features_caras,xgb900,1500000,370,0.23519276111087534,0.24538843333610783
xgb900_features_caras,xgb900,2000000,194,0.2472542546355779,0.25911327449009175
xgb900_target_encoding,xgb900,600000,1913,0.36143561423235765,0.34405355588886766
xgb900_target_encoding,xgb900,740000,1413,0.2529801505208284,0.2434339208855676
xgb900_target_encoding,xgb900,830000,1174,0.21860301015374267,0.21402805808895414
xgb900_target_encoding,xgb900,950000,947,0.2040273082094711,0.20477829232691672
xgb900_target_encoding,xgb900,1000000,852,0.20300710555375232,0.2057607036022729
xgb900_target_encoding,xgb900,1300000,516,0.23244443551297375,0.23911345775477205
xgb900_target_encoding,xgb900,1500000,370,0.235531490227898,0.24481891736853229
xgb900_target_encoding,xgb900,2000000,194,0.24920029406992183,0.2592030653044067
xgb900_features_caras_te,xgb900,600000,1913,0.35946217140958364,0.3359572595414812
xgb900_features_caras_te,xgb900,740000,1413,0.2531643233658413,0.23982574613290775
xgb900_features_caras_te,xgb900,830000,1174,0.22117382696267782,0.21404681932806308
xgb900_features_caras_te,xgb900,950000,947,0.20759696332209562,0.2069988289024504
xgb900_features_caras_te,xgb900,1000000,852,0.2076534203182989,0.20951408658360318
xgb900_features_caras_te,xgb900,1300000,516,0.22946095514154086,0.237178245720944
xgb900_features_caras_te,xgb900,1500000,370,0.23262217596964269,0.24371749687327823
xgb900_features_caras_te,xgb900,2000000,194,0.24554331164426585,0.25765283491790814
lgb900_l31_d7_mc40_i600,lgb900,600000,1913,0.36389549483804656,0.3490906754414761
lgb900_l31_d7_mc40_i600,lgb900,740000,1413,0.25618548078577386,0.24803713798263197
lgb900_l31_d7_mc40_i600,lgb900,830000,1174,0.22172107787828632,0.21768851453795315
lgb900_l31_d7_mc40_i600,lgb900,950000,947,0.2065853353978987,0.20685928249207802
lgb900_l31_d7_mc40_i600,lgb900,1000000,852,0.20695534301199925,0.20887471456882767
lgb900_l31_d7_mc40_i600,lgb900,1300000,516,0.2332065789114214,0.23853656941201878
lgb900_l31_d7_mc40_i600,lgb900,1500000,370,0.24594877892454856,0.2531694976872213
lgb900_l31_d7_mc40_i600,lgb900,2000000,194,0.26757046290939435,0.27587095536109063
lgb900_l63_d8_mc40_i800,lgb900,600000,1913,0.3671043755382421,0.3487774483580421
lgb900_l63_d8_mc40_i800,lgb900,740000,1413,0.25905495145397295,0.2488438638111673
lgb900_l63_d8_mc40_i800,lgb900,830000,1174,0.22540178914565617,0.22017081066842797
lgb900_l63_d8_mc40_i800,lgb900,950000,947,0.20858567404908263,0.20854099237687046
lgb900_l63_d8_mc40_i800,lgb900,1000000,852,0.2092858763646068,0.2111095830900765
lgb900_l63_d8_mc40_i800,lgb900,1300000,516,0.23440983620904934,0.24023417364002336
lgb900_l63_d8_mc40_i800,lgb900,1500000,370,0.24542370866749866,0.25351335282481835
lgb900_l63_d8_mc40_i800,lgb900,2000000,194,0.26233080233529227,0.272009037147634
lgb900_features_caras_te,lgb900,600000,1913,0.3591758728528382,0.3369459096483294
lgb900_features_caras_te,lgb900,740000,1413,0.2545578339810909,0.24209274073465534
lgb900_features_caras_te,lgb900,830000,1174,0.2221074425541056,0.2156593262928519
lgb900_features_caras_te,lgb900,950000,947,0.2110507101508851,0.21037796577573378
lgb900_features_caras_te,lgb900,1000000,852,0.21283392870425283,0.21423999988753908
lgb900_features_caras_te,lgb900,1300000,516,0.2343769390628619,0.24114516739335407
lgb900_features_caras_te,lgb900,1500000,370,0.23566248975003218,0.24632027592499647
lgb900_features_caras_te,lgb900,2000000,194,0.2542698962474252,0.26606329469800094
