limite,rmspe,quantidade_especialista,fracao_especialista
303800.0,0.20437878438436954,698,0.14920906370243694
306000.0,0.2043885894411564,703,0.15027789653698162
308000.0,0.2043952218443339,704,0.15049166310389056
305000.0,0.20439569892377416,702,0.15006412997007268
309000.0,0.2043969406831866,706,0.15091919623770841
308700.0,0.2043977368558792,705,0.15070542967079947
304537.0,0.20440860678016654,699,0.14942283026934589
350000.0,0.20456844301775723,1156,0.24711415134672937
354000.0,0.20457348985663312,1168,0.2496793501496366
353500.0,0.2045752596253034,1167,0.24946558358272766
350977.0,0.20457851005200844,1157,0.2473279179136383
353000.0,0.20458196010597368,1165,0.24903805044890978
352000.0,0.20458879537425317,1161,0.24818298418127405
352500.0,0.20459960597866378,1162,0.248396750748183
356150.0,0.20470011494181287,1179,0.25203078238563487
355000.0,0.2047030944468511,1178,0.25181701581872595
356500.0,0.20470371528836737,1180,0.25224454895254383
356979.0,0.20472545423027705,1181,0.25245831551945275
357000.0,0.20474341647146954,1184,0.25309961522017954
358000.0,0.20476048080571874,1185,0.2533133817870885
299000.0,0.20481374873737526,627,0.13403163745190252
299990.0,0.20481972175249527,628,0.13424540401881147
299999.0,0.20487420663712624,629,0.1344591705857204
290000.0,0.20491379532991746,593,0.1267635741769987
291000.0,0.2049248874365715,596,0.12740487387772553
292450.0,0.20496774705259105,597,0.12761864044463445
293910.0,0.2049678339806482,598,0.1278324070115434
298500.0,0.20500370162349812,619,0.13232150491663103
295000.0,0.20503840546215696,612,0.1308251389482685
295475.0,0.20505251785673673,613,0.13103890551517744
296000.0,0.20507188074697044,614,0.13125267208208635
297000.0,0.20509765073954314,617,0.13189397178281317
296721.0,0.2051040078639676,615,0.1314664386489953
360000.0,0.20514166675991446,1247,0.2665669089354425
360300.0,0.20516562616264447,1248,0.2667806755023514
364000.0,0.2051811295364027,1249,0.2669944420692604
366700.0,0.2051852227729228,1270,0.271483539974348
365000.0,0.20519654306123572,1268,0.27105600684053016
366025.0,0.20519874417563727,1269,0.2712697734074391
289000.0,0.20521144383658455,553,0.1182129115006413
367000.0,0.20524175661076768,1271,0.27169730654125696
