nome,familia,limite_preco,quantidade,rmspe_bruto,rmspe_calibrado_cf
xgb_log_all_b000,xgb,830000,1174,0.23412833260438615,0.23571270704101244
xgb_log_all_b000,xgb,950000,947,0.23764423169200133,0.23913913495318978
xgb_log_all_b000,xgb,1000000,852,0.23976622280481577,0.24086954485821335
xgb_log_all_b000,xgb,1300000,516,0.26585618374257053,0.2669063226027268
xgb_log_all_b000,xgb,1500000,370,0.25806635842932274,0.2574360455909955
xgb_log_all_b000,xgb,2000000,194,0.25417567674072183,0.2527672699773277
lgb_log_all_b000,lgb,600000,1913,0.23632384455176791,0.23831887302577673
lgb_log_all_b000,lgb,740000,1413,0.23535279251482624,0.23724486302022124
lgb_log_all_b000,lgb,830000,1174,0.23628349763716774,0.23797037410772348
lgb_log_all_b000,lgb,950000,947,0.24006847813708354,0.24175154672016622
lgb_log_all_b000,lgb,1000000,852,0.24209795425345967,0.24346099557032963
lgb_log_all_b000,lgb,1300000,516,0.2646850115735338,0.2659433126923308
lgb_log_all_b000,lgb,1500000,370,0.2598912761691714,0.260168707538565
lgb_log_all_b000,lgb,2000000,194,0.2535644171635142,0.2530158679816529
blend50_log_all_b000,blend50,600000,1913,0.2323446297831768,0.23445935432216602
blend50_log_all_b000,blend50,740000,1413,0.23230531634273016,0.2342554683625214
blend50_log_all_b000,blend50,830000,1174,0.2332908626888239,0.23495134900765616
blend50_log_all_b000,blend50,950000,947,0.2367610245276229,0.23830633642351298
blend50_log_all_b000,blend50,1000000,852,0.23878361466109851,0.2399134189085698
blend50_log_all_b000,blend50,1300000,516,0.26304272091435843,0.2640114070976712
blend50_log_all_b000,blend50,1500000,370,0.25652892228640795,0.25599730612580607
blend50_log_all_b000,blend50,2000000,194,0.2512367938036122,0.24986900332110779
xgb_log_all_b050,xgb,600000,1913,0.24301319939985402,0.24163474421243705
xgb_log_all_b050,xgb,740000,1413,0.2444764183193808,0.24411277046972601
xgb_log_all_b050,xgb,830000,1174,0.24701382549259177,0.2474956189340377
xgb_log_all_b050,xgb,950000,947,0.252340338118051,0.2540103928720422
xgb_log_all_b050,xgb,1000000,852,0.25519296241807476,0.2576537407375437
xgb_log_all_b050,xgb,1300000,516,0.2876205845230741,0.2915954907392941
xgb_log_all_b050,xgb,1500000,370,0.24823514251847378,0.254898277358343
xgb_log_all_b050,xgb,2000000,194,0.24339899481890648,0.2498455175889848
lgb_log_all_b050,lgb,600000,1913,0.2455118621696447,0.2435381312821881
lgb_log_all_b050,lgb,740000,1413,0.24451606138611487,0.24363781488028316
lgb_log_all_b050,lgb,830000,1174,0.24659447702156043,0.24659967219193651
lgb_log_all_b050,lgb,950000,947,0.2504321354675927,0.2518465981222795
lgb_log_all_b050,lgb,1000000,852,0.2513645473201045,0.253783265281496
lgb_log_all_b050,lgb,1300000,516,0.28007542886121356,0.28400038412788126
lgb_log_all_b050,lgb,1500000,370,0.2537457689278708,0.26055129402085736
lgb_log_all_b050,lgb,2000000,194,0.24568321545937982,0.2521475291058761
blend50_log_all_b050,blend50,600000,1913,0.24252965799178097,0.2410055460075748
blend50_log_all_b050,blend50,740000,1413,0.24274083282109604,0.24224484052178671
blend50_log_all_b050,blend50,830000,1174,0.24503806438794976,0.24537382075651934
blend50_log_all_b050,blend50,950000,947,0.2494983158167062,0.25109757258078913
blend50_log_all_b050,blend50,1000000,852,0.2514492498134022,0.2539002457547329
blend50_log_all_b050,blend50,1300000,516,0.2818680632455536,0.28579920272844445
blend50_log_all_b050,blend50,1500000,370,0.24879108476086007,0.25538673169865367
blend50_log_all_b050,blend50,2000000,194,0.2418651778926778,0.2481971556403739
xgb_log_all_b100,xgb,600000,1913,0.2488790161195081,0.24423890561353956
xgb_log_all_b100,xgb,740000,1413,0.24885404818223691,0.2460363125709686
xgb_log_all_b100,xgb,830000,1174,0.25039152582211455,0.2490163783765733
xgb_log_all_b100,xgb,950000,947,0.25483197212050446,0.2553780807069236
xgb_log_all_b100,xgb,1000000,852,0.25786345609164124,0.2596994690451112
xgb_log_all_b100,xgb,1300000,516,0.29108972685044104,0.2949887825342542
xgb_log_all_b100,xgb,1500000,370,0.24305211847121372,0.25255965469028796
xgb_log_all_b100,xgb,2000000,194,0.2381223261315664,0.24785395348205969
lgb_log_all_b100,lgb,600000,1913,0.257637724852342,0.25070277220367676
lgb_log_all_b100,lgb,740000,1413,0.2537583656986586,0.2489962762198088
lgb_log_all_b100,lgb,830000,1174,0.2549626766301875,0.2518746415554067
lgb_log_all_b100,lgb,950000,947,0.25874056716611743,0.257939934521496
lgb_log_all_b100,lgb,1000000,852,0.2603397131226297,0.2613209165540768
lgb_log_all_b100,lgb,1300000,516,0.2928927698455327,0.2961382512821566
lgb_log_all_b100,lgb,1500000,370,0.24741571616660504,0.2584796741712619
lgb_log_all_b100,lgb,2000000,194,0.23520461342517676,0.246957769747922
blend50_log_all_b100,blend50,600000,1913,0.25122247756892896,0.2456899290102811
blend50_log_all_b100,blend50,740000,1413,0.24921694399310246,0.2456437898883842
blend50_log_all_b100,blend50,830000,1174,0.25047138675797864,0.24843175767511638
blend50_log_all_b100,blend50,950000,947,0.25438639546441805,0.2544277937470727
