avaliacao,fracao_top,peso_especialista,quantidade_selecionada,rmspe_base,rmspe_gate,ganho_pp,preco_previsto_minimo_selecionado,preco_real_mediano_selecionado,proporcao_real_acima_1m,proporcao_real_acima_1300,proporcao_real_acima_1500,proporcao_real_acima_2m,ganho_fold_1_pp,ganho_fold_2_pp,ganho_fold_3_pp,ganho_fold_4_pp,ganho_fold_5_pp
holdout_id,0.02,1.0,19,0.20784386749850803,0.20775546317103702,0.00884043274710089,1867775.100989713,3500000.0,1.0,1.0,0.9473684210526315,0.8421052631578947,,,,,
holdout_id,0.025,0.1,24,0.20784386749850803,0.20773622619716767,0.010764130134036098,1681693.105442428,2690000.0,1.0,1.0,0.9583333333333334,0.7916666666666666,,,,,
holdout_id,0.025,0.2,24,0.20784386749850803,0.2076420686730898,0.02017988254182368,1681693.105442428,2690000.0,1.0,1.0,0.9583333333333334,0.7916666666666666,,,,,
holdout_id,0.025,0.25,24,0.20784386749850803,0.2076000521635309,0.02438153349771377,1681693.105442428,2690000.0,1.0,1.0,0.9583333333333334,0.7916666666666666,,,,,
holdout_id,0.025,0.3333333333333333,24,0.20784386749850803,0.20753753141382386,0.030633608468416673,1681693.105442428,2690000.0,1.0,1.0,0.9583333333333334,0.7916666666666666,,,,,
holdout_id,0.025,0.5,24,0.20784386749850803,0.20744066922668125,0.04031982718267768,1681693.105442428,2690000.0,1.0,1.0,0.9583333333333334,0.7916666666666666,,,,,
holdout_id,0.025,0.75,24,0.20784386749850803,0.20736591337410126,0.04779541244067653,1681693.105442428,2690000.0,1.0,1.0,0.9583333333333334,0.7916666666666666,,,,,
holdout_id,0.025,1.0,24,0.20784386749850803,0.20737587612614536,0.04679913723626694,1681693.105442428,2690000.0,1.0,1.0,0.9583333333333334,0.7916666666666666,,,,,
holdout_id,0.03,0.1,29,0.20784386749850803,0.20768393808031274,0.015992941819528705,1555334.5951986555,2500000.0,1.0,1.0,0.9310344827586207,0.7241379310344828,,,,,
holdout_id,0.03,0.2,29,0.20784386749850803,0.20754429994416337,0.02995675543446541,1555334.5951986555,2500000.0,1.0,1.0,0.9310344827586207,0.7241379310344828,,,,,
holdout_id,0.03,0.25,29,0.20784386749850803,0.2074821031421846,0.03617643563234296,1555334.5951986555,2500000.0,1.0,1.0,0.9310344827586207,0.7241379310344828,,,,,
holdout_id,0.03,0.3333333333333333,29,0.20784386749850803,0.20738974996325302,0.045411753525501086,1555334.5951986555,2500000.0,1.0,1.0,0.9310344827586207,0.7241379310344828,,,,,
holdout_id,0.03,0.5,29,0.20784386749850803,0.20724751358060953,0.05963539178985011,1555334.5951986555,2500000.0,1.0,1.0,0.9310344827586207,0.7241379310344828,,,,,
holdout_id,0.03,0.75,29,0.20784386749850803,0.20714053089595913,0.07033366025488985,1555334.5951986555,2500000.0,1.0,1.0,0.9310344827586207,0.7241379310344828,,,,,
holdout_id,0.03,1.0,29,0.20784386749850803,0.20716135278533188,0.06825147131761522,1555334.5951986555,2500000.0,1.0,1.0,0.9310344827586207,0.7241379310344828,,,,,
holdout_id,0.04,0.1,38,0.20784386749850803,0.20766821440893257,0.0175653089575456,1438707.478881352,2275000.0,1.0,0.9210526315789473,0.8157894736842105,0.6052631578947368,,,,,
holdout_id,0.04,0.2,38,0.20784386749850803,0.20751552779458085,0.03283397039271774,1438707.478881352,2275000.0,1.0,0.9210526315789473,0.8157894736842105,0.6052631578947368,,,,,
holdout_id,0.04,0.25,38,0.20784386749850803,0.20744781306096605,0.039605443754198166,1438707.478881352,2275000.0,1.0,0.9210526315789473,0.8157894736842105,0.6052631578947368,,,,,
holdout_id,0.04,0.3333333333333333,38,0.20784386749850803,0.2073477578631204,0.0496109635387626,1438707.478881352,2275000.0,1.0,0.9210526315789473,0.8157894736842105,0.6052631578947368,,,,,
holdout_id,0.04,0.5,38,0.20784386749850803,0.20719573635126523,0.06481311472427975,1438707.478881352,2275000.0,1.0,0.9210526315789473,0.8157894736842105,0.6052631578947368,,,,,
holdout_id,0.04,0.75,38,0.20784386749850803,0.20708816313791045,0.07557043605975755,1438707.478881352,2275000.0,1.0,0.9210526315789473,0.8157894736842105,0.6052631578947368,,,,,
holdout_id,0.04,1.0,38,0.20784386749850803,0.20712531857030408,0.07185489282039437,1438707.478881352,2275000.0,1.0,0.9210526315789473,0.8157894736842105,0.6052631578947368,,,,,
holdout_id,0.05,0.1,47,0.20784386749850803,0.20768135582143743,0.01625116770705981,1372743.289332407,2100000.0,1.0,0.8723404255319149,0.7446808510638298,0.5319148936170213,,,,,
holdout_id,0.05,0.2,47,0.20784386749850803,0.20754759486193247,0.029627263657555636,1372743.289332407,2100000.0,1.0,0.8723404255319149,0.7446808510638298,0.5319148936170213,,,,,
holdout_id,0.05,0.25,47,0.20784386749850803,0.20749151374408661,0.03523537544214139,1372743.289332407,2100000.0,1.0,0.8723404255319149,0.7446808510638298,0.5319148936170213,,,,,
holdout_id,0.05,0.3333333333333333,47,0.20784386749850803,0.20741406467235018,0.04298028261578435,1372743.289332407,2100000.0,1.0,0.8723404255319149,0.7446808510638298,0.5319148936170213,,,,,
holdout_id,0.05,0.5,47,0.20784386749850803,0.20731931297564918,0.052455452285884996,1372743.289332407,2100000.0,1.0,0.8723404255319149,0.7446808510638298,0.5319148936170213,,,,,
